,usage_date,percentage,total_usage_7_7_ccf,total_usage_7_7_therm,type,CREATED_DATETIME
213,2017-03-13,99.9,158519.21,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
214,2017-03-13,100.0,3697.9,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
215,2017-03-13,99.85,36684.13,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
216,2017-03-14,100.0,3631.44,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
217,2017-03-14,99.9,36437.37,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
218,2017-03-14,99.9,150323.06,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
219,2017-03-15,99.9,148491.77,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
220,2017-03-15,100.0,3685.22,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
221,2017-03-15,99.85,37560.62,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
222,2017-03-16,99.85,38110.45,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
223,2017-03-16,100.0,3555.0,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
224,2017-03-16,99.9,150181.72,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
225,2017-03-17,99.9,144613.11,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
226,2017-03-17,99.85,39248.13,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
227,2017-03-17,100.0,2743.34,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
228,2017-03-18,100.0,1504.64,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
229,2017-03-18,99.9,38666.23,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
230,2017-03-18,99.9,167888.51,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
231,2017-03-19,99.9,181012.02,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
232,2017-03-19,99.95,38101.06,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
233,2017-03-19,100.0,1962.0,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
234,2017-03-20,100.0,3590.94,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
235,2017-03-20,99.9,41813.08,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
236,2017-03-20,99.9,180798.7,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
237,2017-03-21,99.9,168742.6,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
238,2017-03-21,100.0,3657.68,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
239,2017-03-21,99.9,40137.76,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
240,2017-03-22,99.9,45226.04,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
241,2017-03-22,100.0,4283.34,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
242,2017-03-22,99.9,209278.54,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
243,2017-03-23,99.95,246574.81,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
244,2017-03-23,99.95,48832.46,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
245,2017-03-23,100.0,4173.16,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
